"Time_ka","alphaflux","a_U238","a_U234","a_Th230","r234_238","r230_234","Dr238_alpha","Dr238_beta","Dr238_gamma","Dr238","Dr234_alpha","Dr234_beta","Dr234_gamma","Dr234","Dr230_alpha","Dr230_beta","Dr230_gamma","Dr230","Dr_U238chain_alpha","Dr_U238chain_beta","Dr_U238chain_gamma","Dr_U238chain_total","Dr_U235","Dr_Th232","Dr.cosmic","Dr_total","De"
35,16715.4241192113,8.27562292,21.3965884868244,6.05617628911014,2.58549582232831,0.283044013901534,0.01960349248,0.036716,0.0005695,0.05688899248,0.0606294335693555,0.00121259754067198,8.66141100479984e-05,0.0619286452200754,0.134077532433947,0.0423629660767589,0.0264523381926058,0.202892836703312,0.214310458483302,0.0802915636174308,0.0271084523026538,0.321710474403387,0.01367513952,0.0019040976624,0.051,0.388289711585787,10.3397980871068
36,16949.1414086168,8.27562292,21.3596325303434,6.19625666709533,2.58103018187583,0.290091913252391,0.01960349248,0.036716,0.0005695,0.05688899248,0.0605247150666915,0.00121050315529977,8.64645110928405e-05,0.0618216827330841,0.137178768350154,0.0433428286199408,0.0270641852320117,0.207585782202106,0.217306975896845,0.0812693317752406,0.0277201497431045,0.32629645741519,0.01367513952,0.0019040976624,0.051,0.39287569459759,10.7303830115397
37,17180.0876772246,8.27562292,21.3227806624459,6.33471896941609,2.57657711915732,0.297086907645818,0.01960349248,0.036716,0.0005695,0.05688899248,0.0604202915097317,0.00120841466888478,8.63153334917703e-05,0.0617150215121083,0.140244181730486,0.0443113727203944,0.027668964794737,0.212224519245618,0.220267965720218,0.0822357873892792,0.0283247801282288,0.330828533237726,0.01367513952,0.0019040976624,0.051,0.397407770420126,11.1255269482555
38,17408.2900454909,8.27562292,21.2860325899603,6.47157893959098,2.57213659874686,0.304029363491783,0.01960349248,0.036716,0.0005695,0.05688899248,0.0603161620677444,0.00120633206481228,8.61665760580198e-05,0.0616086607086147,0.1432741211203,0.0452687085040654,0.0282667456457677,0.216809575270133,0.223193775668045,0.0831910405688777,0.0289224122218257,0.335307228458748,0.01367513952,0.0019040976624,0.051,0.401886465641148,11.5251762535063
39,17633.7753808921,8.27562292,21.249388020541,6.60685217452715,2.56770858531831,0.310919644751207,0.01960349248,0.036716,0.0005695,0.05688899248,0.0602123259123378,0.00120425532651429,8.60182376081634e-05,0.0615025994764603,0.146268931819126,0.0462149450713527,0.0288575959097162,0.221341472800195,0.226084750211463,0.084135200397867,0.0295131141473244,0.339733064756655,0.01367513952,0.0019040976624,0.051,0.406312301939055,11.9292778076762
40,17856.5703002514,8.27562292,21.2128466626654,6.74055412586823,2.56329304364504,0.317758112951978,0.01960349248,0.036716,0.0005695,0.05688899248,0.0601087822174533,0.00120218443746952,8.58703169621088e-05,0.0613968369718849,0.149228955910506,0.0471501905065365,0.0294415830767089,0.225820729493752,0.22894123060796,0.0850683749440061,0.030096953393671,0.344106558945637,0.01367513952,0.0019040976624,0.051,0.410685796128037,12.3377790103944
41,18076.7011720451,8.27562292,21.1764082256325,6.87270010132997,2.55888993859963,0.324545127204862,0.01960349248,0.036716,0.0005695,0.05688899248,0.0600055301593591,0.00120011938120323,8.57228129430876e-05,0.0612913723535054,0.152154532291572,0.0480745518871212,0.0300187740082198,0.230247858186913,0.231763554930931,0.0859906712683245,0.0306739968211629,0.348428223020418,0.01367513952,0.0019040976624,0.051,0.415007460202818,12.7506277756928
42,18294.1941186866,8.27562292,21.1400724195596,7.00330526602363,2.5544992351536,0.331281044219314,0.01960349248,0.036716,0.0005695,0.05688899248,0.0599025689166431,0.00119806014128704,8.55757243776455e-05,0.0611862047823077,0.155045996702332,0.0489881352930923,0.030589234942851,0.234623366938276,0.234552058098975,0.0869021954343794,0.0312443106672287,0.352698564200583,0.01367513952,0.0019040976624,0.051,0.419277801382983,13.1677725272098
43,18509.0750187906,8.27562292,21.1038389553808,7.13238464376708,2.55012089837713,0.337966218319182,0.01960349248,0.036716,0.0005695,0.05688899248,0.0597998976702072,0.00119600670133887,8.54290500956338e-05,0.0610813334216417,0.157903681754709,0.0498910458160881,0.0311530315020596,0.238947759072857,0.237307071904917,0.087803052517427,0.0318079605521553,0.356918084974499,0.01367513952,0.0019040976624,0.051,0.423497322156899,13.589162193436
44,18721.3695094157,8.27562292,21.0677075448441,7.25995311838418,2.54575489343878,0.344601001458315,0.01960349248,0.036716,0.0005695,0.05688899248,0.0596975156032601,0.00119395904502279,8.52827889301992e-05,0.0609767574372131,0.1607279169613,0.0507833875684882,0.0317102286958326,0.243221533225621,0.24002892504456,0.0886933466135109,0.0323650114847628,0.361087283142834,0.01367513952,0.0019040976624,0.051,0.427666520325234,14.0147462030055
